brand,name,price,explain,patty,wordlist
맘스터치,아라비아따치즈버거,7100,"고소한 통모짜렐라 치즈패티 & 부드러운 통닭다리살 & 매콤한 아라비아따소스가 선보이는 환상적인 조화! 풍성한 속재료와 풍미 가득한 토마토 칠리소스가 만든 중독적인 맛을 느낄 수 있는 버거 닭넓적다리 패티, 아라비아따소스, 맘스소스, 통모짜렐라 치즈, 양상추, 양파",소고기 패티,고소하다 모짜렐라 치즈 패티 부드럽다 통닭 다리 매콤 아라비아 따다 소스 선보이다 환상 조화 성하다 재료 밉다 가득하다 토마토 칠리소스 중독 느끼다 넓적다리 맘스 양상추 양파
맘스터치,칠리새우버거,3800,"풍미 가득 칠리토마토소스 & 새우살이 쏙쏙 새우패티의 환성적인 만남! 시푸드의 풍미를 담은 칠리소스의 감칠맛이 가득한 스페셜 새우버거 통새우 패티, 칠리토마토소스, 맘스소스, 양상추, 피클",새우 패티,밉다 가득 칠리 토마토소스 새우 살이 쏙쏙 패티 환성 푸드 담다 칠리소스 감칠맛 가득하다 스페셜 맘스 소스 양상추 피클
맘스터치,비프스테이크버거,6200,"육즙 풍부한 패티와 달콤한 스테이크소스의 조화! 두툼한 육즙 가득 비프패티와 여러가지 토핑 스테이크소스의 환상적인 만남! 와규 패티, 스테이크 소스, 체다치즈, 계란 프라이, 양상추, 양파, 피클",소고기 패티,육즙 풍부하다 패티 달콤하다 스테이크 소스 조화 두툼 가득 비프 여러 가지 토핑 환상 오다 치즈 계란 프라이 양상추 양파 피클
맘스터치,그릴드더블비프버거,8700,"맘스터치 비프버거의 탄생! 두툼한 패티 2장이 있어 진정한 비프버거 맛을 느낄 수 있는 버거 소고기 패티 2장, 체다치즈, 양상추, 양파, 토마토",소고기 패티,맘스 터치 비프 탄생 두툼 패티 장이 진정하다 느끼다 소고기 치즈 양상추 양파 토마토
맘스터치,그릴드비프버거,5100,"맘스터치 비프버거의 탄생! 두툼한 패티에 고소하고 부드러운 체다치즈가 조화를 이룬 맘스터치 시그니처 비프버거 소고기 패티, 체다치즈, 양상추, 양파, 토마토",소고기 패티,맘스 터치 비프 탄생 두툼 패티 고소하다 부드럽다 치즈 조화 소고기 양상추 양파 토마토
맘스터치,트리플딥치즈싸이버거,5400,"더욱 풍성해진 NEW 딥치즈싸이버거! 그뤼에르치즈, 체다치즈, 크림치즈 3가지 치즈와 싸이패티의 만남 닭넓적다리 패티, 그뤼에르 치즈, 크림치즈, 체다치즈, 양상추, 양파, 피클",소고기 패티,더욱 성하다 치즈 싸이 에르 크림 가지 패티 넓적다리 양상추 양파 피클
맘스터치,쉬림프싸이플렉스버거,7000,"BEST 통새우버거와 싸이버거의 결합! 타르타르소스까지 더한 새로운 입찢버거로 FLEX! 닭넓적다리 패티, 통새우 패티, 맘스소스, 타르타르 소스, 양상추, 양파, 피클",새우 패티,새우 싸이버 결합 타르 소스 더하다 새롭다 찢다 넓적다리 패티 맘스 양상추 양파 피클
맘스터치,딥치즈싸이버거,5100,"BEST 딥치즈버거가 싸이버거로 재탄생! 진한 치즈소스와 통다리살 패티가 일품 닭넑적다리 패티, 크림치즈, 체다치즈, 양상추, 양파, 피클",소고기 패티,치즈버거 싸이 재탄생 진하다 치즈 소스 다리 패티 일품 닭넑 적다 크림 양상추 양파 피클
맘스터치,화이트갈릭싸이버거,5200,"BEST 화이트갈릭이 싸이버거로 재탄생! 더블햄, 통다리살, 화이트갈릭소스의 환상 조합 닭넓적다리 패티, 화이트 갈릭 소스, 치즈, 저민 햄, 양파, 피클",소고기 패티,화이트 갈릭 싸이 재탄생 더블 다리 소스 환상 조합 넓적다리 패티 치즈 양파 피클
맘스터치,싸이플렉스버거,7700,"통다리살 싸이패티가 2장! 압도적 사이즈의 FLEX, 리얼 입찢버거 싸이플렉스버거 닭넓적다리 패티 2장, 맘스소스, 양상추, 양파, 피클, 토마토, 체다치즈",소고기 패티,다리 싸이 패티 압도 사이즈 리얼 찢다 플렉스 넓적다리 맘스 소스 양상추 양파 피클 토마토 치즈
