Unnamed: 0,id,name,rank,visitor,blog,menu,explain,price,jibun_address,patty,wordlist,latitude,longitude
42,1423852599,버거스올마이티 신세계백화점본점,0.0,784,337,베이컨 치즈버거,"수제 버터번 사이로 100%소고기 만든 스매쉬 패티1장, 토마토소스가 만난 베이컨치즈버거","7,900원",충무로1가 52-5,소고기 패티,수제 버터 사이 소고기 스매쉬 패티 토마토 소스 만난 베이 치즈버거,37.5609226495431,126.981138732453
43,1423852599,버거스올마이티 신세계백화점본점,0.0,784,337,소 불고기버거,"수제 버터번 사이로 100%소불고기로 만든 스매쉬 패티1장, 불고기소스가 만난 소불고기버거","6,500원",충무로1가 52-5,소고기 패티,수제 버터 사이 불고기 스매쉬 패티 소스 만난,37.5609226495431,126.981138732453
46,1423852599,버거스올마이티 신세계백화점본점,0.0,784,337,올치킨 샐러드,양상추+적양파+그릴드치킨+치킨텐더 2작+계란후라이+방울토마토+파슬리+버거스프레드소스,"6,900원",충무로1가 52-5,치킨 패티,양상추 양파 그릴 치킨 치키다 계란 라이 방울토마토 파슬리 스프레드 소스,37.5609226495431,126.981138732453
69,1966454804,버거스올마이티 강남역점,4.74,"1,767",731,갓치즈버거,스폐셜번 / 100% 소고기 패티 / 아메리칸 치즈 갓성비 버거,"4,900원",역삼동 813-4,소고기 패티,스폐셜 소고기 패티 아메리칸 치즈 성비,37.5027045382404,127.026414164443
70,1966454804,버거스올마이티 강남역점,4.74,"1,767",731,갓치킨버거,스폐셜번 / 100% 치킨 패티 / 모짜렐라 치즈 갓성비 버거,"4,900원",역삼동 813-4,치킨 패티,스폐셜 치킨 패티 모짜렐라 치즈 성비,37.5027045382404,127.026414164443
71,1966454804,버거스올마이티 강남역점,4.74,"1,767",731,올치즈 버거(더블),"수제 버터번 사이로 스매쉬패티, 아메리칸치즈, 소스를 곁들인 진짜 아메리칸올치즈버거","8,500원",역삼동 813-4,소고기 패티,수제 버터 사이 스매쉬 패티 아메리칸 치즈 소스 진짜 치즈버거,37.5027045382404,127.026414164443
72,1966454804,버거스올마이티 강남역점,4.74,"1,767",731,올마이갓버거,"수제 버터번 사이로 100% 스매쉬패티, 아메리칸치즈, 베이컨, 토마토, 양파, 양상추","9,900원",역삼동 813-4,소고기 패티,수제 버터 사이 매쉬 패티 아메리칸 치즈 베이컨 토마토 양파 양상추,37.5027045382404,127.026414164443
73,1966454804,버거스올마이티 강남역점,4.74,"1,767",731,올칠리 치즈버거,"수제 버터번 사이로 100%소고기 만든 스매쉬 패티1장, 칠리소스가 만난 올칠리치즈버거","8,500원",역삼동 813-4,소고기 패티,수제 버터 사이 소고기 스매쉬 패티 칠리소스 만난 칠리 치즈버거,37.5027045382404,127.026414164443
74,1966454804,버거스올마이티 강남역점,4.74,"1,767",731,베이컨 치즈버거,"수제 버터번 사이로 100%소고기 만든 스매쉬 패티1장, 토마토소스가 만난 베이컨치즈버거","7,900원",역삼동 813-4,소고기 패티,수제 버터 사이 소고기 스매쉬 패티 토마토 소스 만난 베이 치즈버거,37.5027045382404,127.026414164443
75,1966454804,버거스올마이티 강남역점,4.74,"1,767",731,소 불고기버거,"수제 버터번 사이로 100%소불고기로 만든 스매쉬 패티1장, 불고기소스가 만난 소불고기버거","6,500원",역삼동 813-4,소고기 패티,수제 버터 사이 불고기 스매쉬 패티 소스 만난,37.5027045382404,127.026414164443
