restaurant,id,person
너의냠냠버거,1161022583,이승준
노스트레스버거,1721419811,이승준
뉴욕아파트먼트,19594124,이승준
니즈버거,147545760,이승준
다운타우너 잠실점,1484348632,이승준
다운타우너 한남,37822450,이승준
대니버거 초월점,38556139,이승준
더리얼치즈버거,1274730025,이승준
더멜팅팟,37297801,이승준
더백테라스,1465931704,이승준
더백푸드트럭,36473368,이승준
더보일러스,1421188035,이승준
더블식스버거,1136069269,이승준
더블트리온 유니온,35112273,이승준
더티트렁크,1935748301,이승준
성수망치버거,1393101675,이승준
세군다까사,1702620330,이승준
세븐데이즈버거,1376184438,이승준
세븐패티버거 죽전점,1296561406,이승준
세컨드코너,1257011399,이승준
셀러브리티 버거,1708365118,이승준
소울버킷,1336098109,이승준
소이로움,1125965374,이승준
송쓰버거 본점,31752337,이승준
손 수제버거,1983922071,이승준
수제버거924,35272181,이승준
수퍼슬라이더스,1720361242,이승준
쉐이크쉑 분당점,940338661,이승준
슈퍼두퍼 강남점,1284558745,이승준
스마일버거펍,1803248646,이승준
스매쉬보이,1514089345,이승준
스매쉬치즈버거,1239377964,이승준
스탑버거,38692277,이승준
스테이플버거,1112634672,이승준
슬럼덩크 수제버거,1429394899,이승준
식스티즈,1853322194,이승준
아메리칸치즈버거,1798954548,이승준
알로하테이블 코엑스파르나스몰점,35873210,이승준
앨리델리,249321170,이승준
양키스버거,38426942,이승준
에그슬럿,1608633026,이승준
에릭스펍,33481286,이승준
에이플렛,35734702,이승준
에크리,1591051065,이승준
에파타,1092258146,이승준
에프터드링크버거,1205825345,이승준
에픽버거,1018977880,이승준
엘더버거,1774193810,이승준
오렌지블루스,1242371310,이승준
오른손푸드카페,1242371310,이승준
오일리버거,38287300,이승준
오지버거 문정점,1225820519,이승준
오피큐알,37842595,이승준
온더고,20569465,이승준
온더덱,1391555958,이승준
와썹비,1792822007,이승준
원스타 올드패션드 햄버거,1635037172,이승준
위크버거,1137235686,이승준
윌리엄스버거,21634207,이승준
이순신 수제버거,38010379,이승준
일구공,1046875988,임지우
자이온,1313844608,임지우
잭스바,1344728989,임지우
제레미버거,35307516,임지우
제스티살룬,1172915589,임지우
제일버거,1094333326,임지우
제주 판타스틱버거,1483222410,임지우
조지스버거,1089288750,임지우
즐거버,1751843252,임지우
차고버거,38274764,임지우
찰리스버거,37411330,임지우
버거베이,1027595428,임지우
버거인뉴욕,33880194,임지우
몬베튼,1061063683,임지우
더프타운,1774993437,임지우
코즈믹버거 전포점,1190564047,임지우
어썸버거,1167774706,임지우
버거샵 해운대,1438852634,임지우
바오버거 송정본점,984884798,임지우
버거샵 서면,1504731354,임지우
고든램지버거 센텀시티점,1646721578,임지우
더블업 수제 햄버거 송정점,1848710035,임지우
브릭,1590277164,임지우
1966정원 천성항점,1668939432,임지우
19burgertable,1785811886,임지우
치킨버거클럽,1231459822,임지우
버거인뉴욕 부산역점,1431865245,임지우
퍼프버거스탑,1410912525,임지우
라이프버거,1695393302,임지우
엔쵸비 블루스,1742196872,임지우
도심,1384815326,임지우
더블다운버거&버거GEE본점,1667309747,임지우
치킨버거클럽 광안점,1193004645,임지우
미드타운 볼,1147165223,임지우
파머스버거,31111343,임지우
크레딧버거,1207321456,임지우
문버거 본점,1616771161,임지우
GTS버거 센텀,1743934196,임지우
758burger,1681903862,임지우
헤이패티,82678747,임지우
필리핑거,1512004593,임지우
