,title,content,text
0,처음 사먹어 보는데 맛있네요,맛이 좋아서 꾸준히 먹고 있습니다.^^,처음 사먹어 보는데 맛있네요맛이 좋아서 꾸준히 먹고 있습니다.^^
1,말해 뭐합니까 ㅋㅋㅋ 역시,"가성비 갑 제품 + 맛도 다양해서 ㅋㅋㅋ 항상 구매하고 있습니다요! 

    스트로베리 크림치즈가 가장 맛있었네요!","말해 뭐합니까 ㅋㅋㅋ 역시가성비 갑 제품 + 맛도 다양해서 ㅋㅋㅋ 항상 구매하고 있습니다요! 

    스트로베리 크림치즈가 가장 맛있었네요!"
2,좋넹요,맛있습니다. 저번에 말차라떼도 먹어봤는데 그것보다 더 나은거 같네요,좋넹요맛있습니다. 저번에 말차라떼도 먹어봤는데 그것보다 더 나은거 같네요
3,매우 만족합니다,"5키로는 정말 엄청크네요.
    평점이 좋아서 스트로베리크림으로 주문했는데 좋습니다. 단 단맛이 조금 강하고 풀림이 좀 덜하네요.(10점 만점에 8점)
    맛은 우유에 섞었을때 딸기 쉐이크 맛보다는 츄파츕스 딸기맛! 딱 그맛 입니다.
    그래도 잘 먹고 있으며 재구매 의사 있습니다. 마프 입문용으로는 딱 인듯 합니다","매우 만족합니다5키로는 정말 엄청크네요.
    평점이 좋아서 스트로베리크림으로 주문했는데 좋습니다. 단 단맛이 조금 강하고 풀림이 좀 덜하네요.(10점 만점에 8점)
    맛은 우유에 섞었을때 딸기 쉐이크 맛보다는 츄파츕스 딸기맛! 딱 그맛 입니다.
    그래도 잘 먹고 있으며 재구매 의사 있습니다. 마프 입문용으로는 딱 인듯 합니다"
4,마싯어요,약간 달긴 하지만 물에 잘 녹고 가루날림이 거의없어 좋아요,마싯어요약간 달긴 하지만 물에 잘 녹고 가루날림이 거의없어 좋아요
5,최애제품,"임팩트웨이프로틴 항상 구매하고 있습니다.
    제품 풀림도 좋고 민트쵸코 맛은 아주 일품입니다.","최애제품임팩트웨이프로틴 항상 구매하고 있습니다.
    제품 풀림도 좋고 민트쵸코 맛은 아주 일품입니다."
6,good,my protein is very good.,goodmy protein is very good.
7,쿠키앤크림 / 훗카이도밀크,"그냥 물에 풀어도 잘 풀립니다.
    당도가 높은 편이고 질리지 않게 잘 먹을 수 있어요!","쿠키앤크림 / 훗카이도밀크그냥 물에 풀어도 잘 풀립니다.
    당도가 높은 편이고 질리지 않게 잘 먹을 수 있어요!"
8,좋아요,처음 주문해서 마시고있습니다. 첫주문이지만  배송료 때문에 5kg 주문했습니다. 생각보다  많이 달아서 좀 그렇지만 마시기 괜찬습니다. 담에는 초코로 마셔봐야겠습니다.,좋아요처음 주문해서 마시고있습니다. 첫주문이지만  배송료 때문에 5kg 주문했습니다. 생각보다  많이 달아서 좀 그렇지만 마시기 괜찬습니다. 담에는 초코로 마셔봐야겠습니다.
9,좋아요.,"잘 먹고 있습니다.
    초코맛 이후로 딸기맛도 구매했어요","좋아요.잘 먹고 있습니다.
    초코맛 이후로 딸기맛도 구매했어요"
10,밀크티,"영국회사라 그런지 지금까지 먹어본 맛중에서 밀크티가 가장 만족스럽네요
    물 적게 넣으시는거 추천드려요","밀크티영국회사라 그런지 지금까지 먹어본 맛중에서 밀크티가 가장 만족스럽네요
    물 적게 넣으시는거 추천드려요"
11,민초파에게 안성맞춤!,민초파라 그런지 너무 맛있게 잘 먹고 있습니다!,민초파에게 안성맞춤!민초파라 그런지 너무 맛있게 잘 먹고 있습니다!
12,화이트초콜릿 저는 맛있어요~,"다른 제품에 비해 같은 양 대비 단백질 함량이 높고, 가격도 싸서 사게 됐어요.

    화이트초콜릿 맛 호불호가 갈리는 수준이 아니라, 대부분 평이 안 좋은데, 개인적으로는 화이트초콜릿 좋아하는 분이면 좋아할 맛이라고 생각해요. 그래서 저는 너무 맛있어서 다음에도 이 맛 시킬 것 같아요(5kg 먹는 동안 질리지 않는다면...).
    사람들이 많이 사지 않는 맛이라서 그런지 배송도 일주일만에 됐네요.
    저는 화초맛 강추!","화이트초콜릿 저는 맛있어요~다른 제품에 비해 같은 양 대비 단백질 함량이 높고, 가격도 싸서 사게 됐어요.

    화이트초콜릿 맛 호불호가 갈리는 수준이 아니라, 대부분 평이 안 좋은데, 개인적으로는 화이트초콜릿 좋아하는 분이면 좋아할 맛이라고 생각해요. 그래서 저는 너무 맛있어서 다음에도 이 맛 시킬 것 같아요(5kg 먹는 동안 질리지 않는다면...).
    사람들이 많이 사지 않는 맛이라서 그런지 배송도 일주일만에 됐네요.
    저는 화초맛 강추!"
13,네추럴 스트로베리,우유에 타먹으면 좀 달지만 맛나요,네추럴 스트로베리우유에 타먹으면 좀 달지만 맛나요
14,너무 맛있고 좋습니다.,마이프로틴에서만 제품을 구입해서 먹는데 매우 만족합니다.,너무 맛있고 좋습니다.마이프로틴에서만 제품을 구입해서 먹는데 매우 만족합니다.
15,믿을수있는 프로틴,"믿을수있는 프로틴, 싸고 맛있는 프로틴! 마이프로틴 대란때 사면 좋숩니다.","믿을수있는 프로틴믿을수있는 프로틴, 싸고 맛있는 프로틴! 마이프로틴 대란때 사면 좋숩니다."
16,스트로베리크림샀구요,"물에 타먹는데 괜찮음
    다음번엔 다른맛으로 시켜볼예정","스트로베리크림샀구요물에 타먹는데 괜찮음
    다음번엔 다른맛으로 시켜볼예정"
17,웨이프로틴,"바닐라맛이 제일 입맛에 맞아서 항상 바닐라로 먹다가
    밀크티맛 시도해 봤는데, 마싯어요 !!
    진짜 밀크티 느낌 완전 팍팍
    파우더 향도 잡아주고 좋았습니다. 이번계기로 새로운맛 계속 도전해야겠어요","웨이프로틴바닐라맛이 제일 입맛에 맞아서 항상 바닐라로 먹다가
    밀크티맛 시도해 봤는데, 마싯어요 !!
    진짜 밀크티 느낌 완전 팍팍
    파우더 향도 잡아주고 좋았습니다. 이번계기로 새로운맛 계속 도전해야겠어요"
18,아이스라떼,"커피우유맛이네요
    이것저것 먹어봤을때 저한테는 가장 맞는 맛이네요!!","아이스라떼커피우유맛이네요
    이것저것 먹어봤을때 저한테는 가장 맞는 맛이네요!!"
19,배송빠르고 만족스러움,가격이 좀 비싸졌지만 그래도 마프네요 배송도 빠르고 만족합니다,배송빠르고 만족스러움가격이 좀 비싸졌지만 그래도 마프네요 배송도 빠르고 만족합니다
20,달다…,스트로베리 크림을 처음 사봤는데 다른 맛보다 더 다네요. 단거 안좋으하시면 이 맛은 피해야될듯.,달다…스트로베리 크림을 처음 사봤는데 다른 맛보다 더 다네요. 단거 안좋으하시면 이 맛은 피해야될듯.
21,처음 구매한 프로틴! 좋아요!,"처음으로 웨이 마이 프로틴을 구매했습니다. 처음에 작은 용량의 푸로틴을 구매하려 했으나 배송료가 비싸서 대용량의 프로틴을 구매하였습니다. 
    반신반의로 구매하였지만, 현재는 매우 만족하고 있습니다. 저녁에 운동 후 프로틴을 먹고 있는데요, 부담스럽지도 않고 그렇다고 허기지도 않아 마음에 듭니다. 
    처음 구매라 어떤 맛을 사야하는지 망설였눈데요, 밀크티가 일반적인 것 같아서 구매했습니다. 현재까지 만족하고 있습니다.
    어떤 효과가 있는지는 아직 잘 모르겠지만 꾸준히 먹어보면 효과가 나타나리라 생각하고 있습니다.
    이상 리뷰를 마침니다!","처음 구매한 프로틴! 좋아요!처음으로 웨이 마이 프로틴을 구매했습니다. 처음에 작은 용량의 푸로틴을 구매하려 했으나 배송료가 비싸서 대용량의 프로틴을 구매하였습니다. 
    반신반의로 구매하였지만, 현재는 매우 만족하고 있습니다. 저녁에 운동 후 프로틴을 먹고 있는데요, 부담스럽지도 않고 그렇다고 허기지도 않아 마음에 듭니다. 
    처음 구매라 어떤 맛을 사야하는지 망설였눈데요, 밀크티가 일반적인 것 같아서 구매했습니다. 현재까지 만족하고 있습니다.
    어떤 효과가 있는지는 아직 잘 모르겠지만 꾸준히 먹어보면 효과가 나타나리라 생각하고 있습니다.
    이상 리뷰를 마침니다!"
22,제품 굿,지금까지 먹은 프로틴 중 최고,제품 굿지금까지 먹은 프로틴 중 최고
23,"스트로베리 크림, 말차라떼, 아이스커피, 초콜렛, 통단팥 후기!","일단 모든 운동하는 사람 + 일반인 다 먹여 결과. 통단탄 2kg 나오면 잘 팔릴꺼구요. 아이스라떼 가장 무난하구요! 커피 우유 좋아하면 무조건 맛있다고 합니다! 말차라떼는 녹차향이 너무 약하고 쌉쌀한 맛이 없어서 말차 맛이라고 생각이 안들고, 스트로베리는 중간 이상이고 초콜렛은 괜찮았아요!","스트로베리 크림, 말차라떼, 아이스커피, 초콜렛, 통단팥 후기!일단 모든 운동하는 사람 + 일반인 다 먹여 결과. 통단탄 2kg 나오면 잘 팔릴꺼구요. 아이스라떼 가장 무난하구요! 커피 우유 좋아하면 무조건 맛있다고 합니다! 말차라떼는 녹차향이 너무 약하고 쌉쌀한 맛이 없어서 말차 맛이라고 생각이 안들고, 스트로베리는 중간 이상이고 초콜렛은 괜찮았아요!"
24,맛잇어요,맛도 다양해서 좋아용,맛잇어요맛도 다양해서 좋아용
25,맛이 너무좋아요~~,"운동을 시작하면서 
    추천을 받게 되어 구매했습니다. 

    초코 맛도 좋고 든든해서 단백질도 챙길수고있고 강추입니당","맛이 너무좋아요~~운동을 시작하면서 
    추천을 받게 되어 구매했습니다. 

    초코 맛도 좋고 든든해서 단백질도 챙길수고있고 강추입니당"
26,초보들에게 알맞는 보충제,최근다시 시작한 웨이트 역시 마프는 맛도 좋고흡수도 잘되는것 같아 언제나 찾게되는 운동하는사람들의 영원한친구라생각되는 제품이에요,초보들에게 알맞는 보충제최근다시 시작한 웨이트 역시 마프는 맛도 좋고흡수도 잘되는것 같아 언제나 찾게되는 운동하는사람들의 영원한친구라생각되는 제품이에요
27,초콜릿브라우니 임팩트 웨이 프로틴,"몇년째 꾸준하게 먹고 있는 프로틴입니다
    다양한 맛 먹지만 초콜릿브라우니가 제일 맛있는거 같아요","초콜릿브라우니 임팩트 웨이 프로틴몇년째 꾸준하게 먹고 있는 프로틴입니다
    다양한 맛 먹지만 초콜릿브라우니가 제일 맛있는거 같아요"
28,운동 후에 먹는 최고의 프로틴,라면 하나 끓이고 임팩트 웨이 먹으면 기가 매킵니다,운동 후에 먹는 최고의 프로틴라면 하나 끓이고 임팩트 웨이 먹으면 기가 매킵니다
29,너무 좋습니다~ 근육 생성 뿜뿜된느거같아요,"운동후 프로틴쉐이크 한잔마시면 모든 근육피로가 회복되는거 같습니다 ㅎㅎ
    너무 좋네요 ㅋㅋ
    추천합니다~~","너무 좋습니다~ 근육 생성 뿜뿜된느거같아요운동후 프로틴쉐이크 한잔마시면 모든 근육피로가 회복되는거 같습니다 ㅎㅎ
    너무 좋네요 ㅋㅋ
    추천합니다~~"
30,좋습니다,항상 잘 먹고 득근하고 있어요,좋습니다항상 잘 먹고 득근하고 있어요
31,말그대로 임팩!,"말 그대로 임팩트가 팍 입니다!!
    맛도 맛있고 질리지가 않고 매번 시켜서 먹습니다! 또 시킬겁니다!","말그대로 임팩!말 그대로 임팩트가 팍 입니다!!
    맛도 맛있고 질리지가 않고 매번 시켜서 먹습니다! 또 시킬겁니다!"
32,복숭아아이스티가 좋습니다,"저는 라즈베리 복숭아아이스티민트처코 초콜릿 카라멜을 먹었는데 운동하고 먹기에는 청량감이있는 라즈베리 복숭아 아이스티가 좋은거 같네요 
    무엇보다 전 복숭아 아이스티가 제일 난거같고 약간 마트에서 파는 복숭아 요거트 느낌나는게 좋았던것 같네요","복숭아아이스티가 좋습니다저는 라즈베리 복숭아아이스티민트처코 초콜릿 카라멜을 먹었는데 운동하고 먹기에는 청량감이있는 라즈베리 복숭아 아이스티가 좋은거 같네요 
    무엇보다 전 복숭아 아이스티가 제일 난거같고 약간 마트에서 파는 복숭아 요거트 느낌나는게 좋았던것 같네요"
33,무맛이 없어졌어요,"카카오는 너무 달아서 무맛과 카카오를 구매해서 섞어먹었는데
    최근에 구매하려고 보니 무맛이 사라졌네요
    앞으로도 안나올까요","무맛이 없어졌어요카카오는 너무 달아서 무맛과 카카오를 구매해서 섞어먹었는데
    최근에 구매하려고 보니 무맛이 사라졌네요
    앞으로도 안나올까요"
34,만족스럽습니다.,스트로베리를 시켰는데 정말 맛도 괜찮고 짱입니다👍,만족스럽습니다.스트로베리를 시켰는데 정말 맛도 괜찮고 짱입니다👍
35,벌써 몇 년째 이용 중이에요.,"처음엔 귀찮아서 2.5kg 두, 세가지 시켜서 먹다가 요즘은 1kg로 여러가지 맛 시켜 먹고 있습니다. 대체적으로 모두 무난하고 맛도 괜찮아요. 개인적으론 스트로베리 크림이 최고 인듯... 딸기 우유 먹는 것 같아요. 단, 물에 타지 마세요, 우유에 타야 됩니다...ㅎㅎㅎ","벌써 몇 년째 이용 중이에요.처음엔 귀찮아서 2.5kg 두, 세가지 시켜서 먹다가 요즘은 1kg로 여러가지 맛 시켜 먹고 있습니다. 대체적으로 모두 무난하고 맛도 괜찮아요. 개인적으론 스트로베리 크림이 최고 인듯... 딸기 우유 먹는 것 같아요. 단, 물에 타지 마세요, 우유에 타야 됩니다...ㅎㅎㅎ"
36,존맛탱,이거 먹으려고 타놓고 운동한다,존맛탱이거 먹으려고 타놓고 운동한다
37,원픽은 초콜릿 민트,"초콜릿 민트는 혁명입니다.
    제일 맛있음
    민트의 상쾌한 맛을 갖고 있는 프로틴이라니 이건 정말 귀하다.
    섞이기도 잘 섞여서 감동
    스투룹와플맛은.. 너무 달고 뭉치기만 해서 아직도 많이 남아있음…","원픽은 초콜릿 민트초콜릿 민트는 혁명입니다.
    제일 맛있음
    민트의 상쾌한 맛을 갖고 있는 프로틴이라니 이건 정말 귀하다.
    섞이기도 잘 섞여서 감동
    스투룹와플맛은.. 너무 달고 뭉치기만 해서 아직도 많이 남아있음…"
38,빠른 배송 굿~,골드맛~~ 생수에 타 먹는데 약간 단맛 좋아요!,빠른 배송 굿~골드맛~~ 생수에 타 먹는데 약간 단맛 좋아요!
39,다크 초콜릿맛 맛있어요!,"운동후가 아닌 저는 일하는 도중에 생수에 타먹는데 맛있고 좋아요!
    짱~~~~","다크 초콜릿맛 맛있어요!운동후가 아닌 저는 일하는 도중에 생수에 타먹는데 맛있고 좋아요!
    짱~~~~"
40,두번째 구입~~,"다크 초콜릿맛 맛있게 다먹고
    스트로베리 크림 후기보고 구입~
    좋아요!!","두번째 구입~~다크 초콜릿맛 맛있게 다먹고
    스트로베리 크림 후기보고 구입~
    좋아요!!"
41,임팩트 웨이프로틴은 전세계에서 가장 다양한 맛과 향이 구비되어 있습니다,"전세계의 보충제 회사 중에서 가장 향이 좋고 맛있으며, 다양한 맛과 향의 제품을 마이프로틴에서 생산하과 있습니다.
    저는 그래서 마이프로틴을 이용하고 있습니다.
    여러가지 보충제를 먹어 보았습니다. 그 어떤 보충제 대기업도 마이프로틴의 임팩트 웨이프로틴과 같지 못 합니다.
    ""한 번 알면 떠나지 못 할 껄?""","임팩트 웨이프로틴은 전세계에서 가장 다양한 맛과 향이 구비되어 있습니다전세계의 보충제 회사 중에서 가장 향이 좋고 맛있으며, 다양한 맛과 향의 제품을 마이프로틴에서 생산하과 있습니다.
    저는 그래서 마이프로틴을 이용하고 있습니다.
    여러가지 보충제를 먹어 보았습니다. 그 어떤 보충제 대기업도 마이프로틴의 임팩트 웨이프로틴과 같지 못 합니다.
    ""한 번 알면 떠나지 못 할 껄?"""
42,대란때 첫 구매해봤는데 생각보다 괜찮아요,"맛의 종류가 많아서 고르기 어려워 그냥 무난하게 초코렛을 선택 했는데 괜찮네요.
    포대로 오는게 유일한 단점이랄까.. 기존에 먹던 프로틴 통에 옮겨 담으니 크게 문제되진 않았습니다.","대란때 첫 구매해봤는데 생각보다 괜찮아요맛의 종류가 많아서 고르기 어려워 그냥 무난하게 초코렛을 선택 했는데 괜찮네요.
    포대로 오는게 유일한 단점이랄까.. 기존에 먹던 프로틴 통에 옮겨 담으니 크게 문제되진 않았습니다."
43,누군가 프로틴 추천을 원한다면 당연 마이프로틴,"저는 운동을 20년가까이 하고있습니다.
    제가 지금까지 먹어본 제품이 신타6, 아이언맥스, 뉴트리코스트, 마이프로틴 등 대충 기억나는것만 6~7가지가 있는데 이중 지금까지 제가 먹고있는건 마이프로틴입니다. 맛도 부담없이 제일 맛있고, 성분도  믿고 먹을 수 있습니다.
    누군가가 프로틴 추천을 바란다면 저는 당연 마이프로틴을 추천할 정도로 몇년째 매우 만족하며 먹고있습니다. 정말 강추합니다","누군가 프로틴 추천을 원한다면 당연 마이프로틴저는 운동을 20년가까이 하고있습니다.
    제가 지금까지 먹어본 제품이 신타6, 아이언맥스, 뉴트리코스트, 마이프로틴 등 대충 기억나는것만 6~7가지가 있는데 이중 지금까지 제가 먹고있는건 마이프로틴입니다. 맛도 부담없이 제일 맛있고, 성분도  믿고 먹을 수 있습니다.
    누군가가 프로틴 추천을 바란다면 저는 당연 마이프로틴을 추천할 정도로 몇년째 매우 만족하며 먹고있습니다. 정말 강추합니다"
44,임팩트웨이프로틴,두유와 함께 잘 섭취하고 있습니다.,임팩트웨이프로틴두유와 함께 잘 섭취하고 있습니다.
45,배송대박빨라요,안전하게 포장되어 빠르게 배송 잘왔습니다. 유통기한도 1년 넘게 남았네요. 추천,배송대박빨라요안전하게 포장되어 빠르게 배송 잘왔습니다. 유통기한도 1년 넘게 남았네요. 추천
46,믿고 사는 마프,역시 내추럴초콜릿 안물리고 적당히 달달하니 최곱니다!,믿고 사는 마프역시 내추럴초콜릿 안물리고 적당히 달달하니 최곱니다!
47,진짜 시중에서 파는 맛으로 먹는 꿀팁,너무 달다고 느껴지는 맛은 양에 따라 히말라야소금을 조금 넣으세요. 특히 우유맛 계열은 진짜 환장하고 개처럼 먹을 수 있습니다.,진짜 시중에서 파는 맛으로 먹는 꿀팁너무 달다고 느껴지는 맛은 양에 따라 히말라야소금을 조금 넣으세요. 특히 우유맛 계열은 진짜 환장하고 개처럼 먹을 수 있습니다.
48,말차라떼 추천!!,"엄청나게 맛있진 않지만 중상은 되고 질리지도 않고 좋네요.

    모난데 없이 무난 무난하지만 맛이나 풀림이나 평균 이상인 느낌?!

    5kg 주문했고 절반 이상 먹었는데 질리지 않네요

    추천 합니다","말차라떼 추천!!엄청나게 맛있진 않지만 중상은 되고 질리지도 않고 좋네요.

    모난데 없이 무난 무난하지만 맛이나 풀림이나 평균 이상인 느낌?!

    5kg 주문했고 절반 이상 먹었는데 질리지 않네요

    추천 합니다"
49,녹차라떼 어디감?,존맛인데 왜 사라졌음?,녹차라떼 어디감?존맛인데 왜 사라졌음?
50,스토리베리크림 정말 딸기우유처럼 먹는법,"우유 3분의2 넣고 물1 넣으면 시중에 파는 
    딸기우유랑 똑같아요.
    주의 : 먹기전 엄청 흔들어 주서요 그래야
    잘 희석됩니다.","스토리베리크림 정말 딸기우유처럼 먹는법우유 3분의2 넣고 물1 넣으면 시중에 파는 
    딸기우유랑 똑같아요.
    주의 : 먹기전 엄청 흔들어 주서요 그래야
    잘 희석됩니다."
51,프로틴 최고 가성비와 맛,"흑당밀크티 - 첫 맛은 달달한 흑당맛이여서 신세계였음 그러나 먹을 수록 너무 달아서 남기는 지경에 이르게 됨. 
    달달한 흑당 밀크티 좋아하시는 분이라면 추천 

    통단팥- 비비빅 녹인맛. 최고. 
    근데 물에 겁나 안풀림 

    아이스라떼- 믹스커피맛. 생각보다 안달아서 잘 먹는 중임. 밤에 운동하고 먹으면 잠이 안옴 
    호불호없이 무난할듯 

    스트로베리크림 - 제일 맛있다고 하는데 내 입맛엔 화장품 맛이였음 

    솔티드카라멜 - 너무 달았음 

    물 넣고 먹은 기준입니다 
    현명한소비하시길","프로틴 최고 가성비와 맛흑당밀크티 - 첫 맛은 달달한 흑당맛이여서 신세계였음 그러나 먹을 수록 너무 달아서 남기는 지경에 이르게 됨. 
    달달한 흑당 밀크티 좋아하시는 분이라면 추천 

    통단팥- 비비빅 녹인맛. 최고. 
    근데 물에 겁나 안풀림 

    아이스라떼- 믹스커피맛. 생각보다 안달아서 잘 먹는 중임. 밤에 운동하고 먹으면 잠이 안옴 
    호불호없이 무난할듯 

    스트로베리크림 - 제일 맛있다고 하는데 내 입맛엔 화장품 맛이였음 

    솔티드카라멜 - 너무 달았음 

    물 넣고 먹은 기준입니다 
    현명한소비하시길"
52,만족합니다.,저번에도 먹었는데 무맛이 맛은 없지만 첨가물이 안들어가서 항상 애용중입니다.,만족합니다.저번에도 먹었는데 무맛이 맛은 없지만 첨가물이 안들어가서 항상 애용중입니다.
53,달달하더군요,"먹을만 합니다.  딸기우유 느낌이 나고요
    약간 잘 녹지 않는 경향이 있어서 컵 벽면을 좀 긁어야 되는 경우가 있었습니다.","달달하더군요먹을만 합니다.  딸기우유 느낌이 나고요
    약간 잘 녹지 않는 경향이 있어서 컵 벽면을 좀 긁어야 되는 경우가 있었습니다."
54,가성비 최고입니다,할인때 좋은가격에 구매했네요 아주만족합니디,가성비 최고입니다할인때 좋은가격에 구매했네요 아주만족합니디
55,인생맛찾는중,"배송은 랜덤 운좋으면 1주일 운나쁘면2주이상....

    바나나-바나나킥 녹인맛 좀 느끼함
    스트로베리스테비아-먹지말자
    흑당버블티-흑당버블티는 모르겠고 별루....
    초콜렛민트-민초단으로서 민트맛이 너무 약함 그래도 깔끔한 느낌
    골드-카라멜? 연유? 약간 그런 맛인데 좀 느끼함

    이번엔 말차라떼, 훗카이도밀크맛 1kg씩 사봐야겠음","인생맛찾는중배송은 랜덤 운좋으면 1주일 운나쁘면2주이상....

    바나나-바나나킥 녹인맛 좀 느끼함
    스트로베리스테비아-먹지말자
    흑당버블티-흑당버블티는 모르겠고 별루....
    초콜렛민트-민초단으로서 민트맛이 너무 약함 그래도 깔끔한 느낌
    골드-카라멜? 연유? 약간 그런 맛인데 좀 느끼함

    이번엔 말차라떼, 훗카이도밀크맛 1kg씩 사봐야겠음"
56,최고의 프로틴,"스트로베리맛 그냥 딸기우유
    최고의 프로틴","최고의 프로틴스트로베리맛 그냥 딸기우유
    최고의 프로틴"
57,단백질왕,단백질량이 부족할때 역시 채우기 좋은 제품입니당,단백질왕단백질량이 부족할때 역시 채우기 좋은 제품입니당
58,맛있어요,한스쿱반씩 먹는데 맛있어요 복숭아향나는 초코렛 같음,맛있어요한스쿱반씩 먹는데 맛있어요 복숭아향나는 초코렛 같음
59,스트로베리 크림 강추,"스트로베리 크림이 확실히 맛있네요. 맨날 초코만 먹다가 먹어서 그런가? 
    꼭 한번 드셔보시길","스트로베리 크림 강추스트로베리 크림이 확실히 맛있네요. 맨날 초코만 먹다가 먹어서 그런가? 
    꼭 한번 드셔보시길"
60,꾸준히 먹습니다~,제발 배송만 좀 빨랐으면....,꾸준히 먹습니다~제발 배송만 좀 빨랐으면....
61,"가성비 좋고, 흡수도 좋은 임팩트웨이👍","임팩트웨이로만 3년 꾸준히 먹고 있고,
    주변친구들이 프로틴 추천 부탁하면 추천해주는 임팩트웨이!
    맛도 타 브랜드와 다르게 다양해서 이것저것 골라먹는 재미가 쏠쏠합니다(너무 많아 선택장애가 올 수도 있어요^^)","가성비 좋고, 흡수도 좋은 임팩트웨이👍임팩트웨이로만 3년 꾸준히 먹고 있고,
    주변친구들이 프로틴 추천 부탁하면 추천해주는 임팩트웨이!
    맛도 타 브랜드와 다르게 다양해서 이것저것 골라먹는 재미가 쏠쏠합니다(너무 많아 선택장애가 올 수도 있어요^^)"
62,5년째 이거만 먹어요,스트로베리크림 제일 맛있네요,5년째 이거만 먹어요스트로베리크림 제일 맛있네요
63,그냥저냥(블루베리 치즈케이크),거품은 여전히나고 맛은 물200ml 탔는데 밍밍함 우유에 150ml로 타면 맛있을거같음 그리고 마시고나면 입안이 텁텁,그냥저냥(블루베리 치즈케이크)거품은 여전히나고 맛은 물200ml 탔는데 밍밍함 우유에 150ml로 타면 맛있을거같음 그리고 마시고나면 입안이 텁텁
64,처음 먹어보는 프로틴인데 아주 좋네요,"이번에 허리가 아프면서 도수치료, 통증치료, 한방침등 정말 다양한 치료를 받아봤는데
    마지막에 진료했던곳에 의사 선생님이 프로틴을 추천하시더군요
    이곳저곳 알아 봤는데 여기가 제일 리뷰가 좋아서 구매를 했습니다
    일단 맛에 따라 호불호가 갈리는것 같아 리뷰가 많은 제품중에 3가지만 주문을 해봤는데요
    일단 초코브라우니는 합격인듯 합니다
    우유에 타 먹으니 초코라기보다는 코코아우유 같네요ㅋ
    다만 좀 아쉬운건 좀 뭉친다는건데 이건 머 다른 프로틴을 시켜도 마찬가지 인듯 합니다
    나머지 두개 아이스라떼랑 스트로우베리도 한번 먹어보고 또 리뷰 남기도록 하겠습니다","처음 먹어보는 프로틴인데 아주 좋네요이번에 허리가 아프면서 도수치료, 통증치료, 한방침등 정말 다양한 치료를 받아봤는데
    마지막에 진료했던곳에 의사 선생님이 프로틴을 추천하시더군요
    이곳저곳 알아 봤는데 여기가 제일 리뷰가 좋아서 구매를 했습니다
    일단 맛에 따라 호불호가 갈리는것 같아 리뷰가 많은 제품중에 3가지만 주문을 해봤는데요
    일단 초코브라우니는 합격인듯 합니다
    우유에 타 먹으니 초코라기보다는 코코아우유 같네요ㅋ
    다만 좀 아쉬운건 좀 뭉친다는건데 이건 머 다른 프로틴을 시켜도 마찬가지 인듯 합니다
    나머지 두개 아이스라떼랑 스트로우베리도 한번 먹어보고 또 리뷰 남기도록 하겠습니다"
65,요거트맛 후기,"500g 사먹고 너무 맛있어서 또사러왔다가 안팔아서 고객센터에 문의도 남기고 한참을 기다렸네요
    시원한물에 타먹으면 그냥 요구르트 마시는거같아요 맛있어요!!","요거트맛 후기500g 사먹고 너무 맛있어서 또사러왔다가 안팔아서 고객센터에 문의도 남기고 한참을 기다렸네요
    시원한물에 타먹으면 그냥 요구르트 마시는거같아요 맛있어요!!"
66,가성비?아니죠~,"맛도 성분도 상급에
    가격마저 저렴한 제품입니다.
    특별하게 원하는 제품이 없다면
    강추합니다.","가성비?아니죠~맛도 성분도 상급에
    가격마저 저렴한 제품입니다.
    특별하게 원하는 제품이 없다면
    강추합니다."
67,조아요,잘 섞이진 않아요.맛과 성분은 깨끗한거같아 조아요,조아요잘 섞이진 않아요.맛과 성분은 깨끗한거같아 조아요
68,좋아요,잘섞이고 맛있어요.아이스라떼,좋아요잘섞이고 맛있어요.아이스라떼
69,첫구매 했네요,"처음 구매하였는데 포장용기 일부가 손상되었어요.
    아직 뜯지않아서 먹어보진 못했네요.
    주변 리뷰가 좋아서 기대됩니다∼","첫구매 했네요처음 구매하였는데 포장용기 일부가 손상되었어요.
    아직 뜯지않아서 먹어보진 못했네요.
    주변 리뷰가 좋아서 기대됩니다∼"
70,임팩트웨이프로틴 한결같이 먹는중입니다.,"가성비부터 여러가지를 따져도 이거만한게 없습니다.

    국내제조사들건 믿질못하고 미국에서도 인정한 웨이프로틴 강추입니다.

    먹고 득근득근하세요","임팩트웨이프로틴 한결같이 먹는중입니다.가성비부터 여러가지를 따져도 이거만한게 없습니다.

    국내제조사들건 믿질못하고 미국에서도 인정한 웨이프로틴 강추입니다.

    먹고 득근득근하세요"
71,맛있어요,스트로베리크림 정말 맛있습니다,맛있어요스트로베리크림 정말 맛있습니다
72,프로틴 리뷰,맛은 있지만 오래 섞어야 섞입니다 몇분동안 섞어야 덩어리가 안집니다,프로틴 리뷰맛은 있지만 오래 섞어야 섞입니다 몇분동안 섞어야 덩어리가 안집니다
73,밀크티 맛있어요,"가루만 먹으면 분유맛 남
    우유에 타먹는게 더 맛있긴 하지만 물에 먹어도 괜찮아요
    풀림은 걍 soso...잘 흔들면 먹는데 지장은 없어요","밀크티 맛있어요가루만 먹으면 분유맛 남
    우유에 타먹는게 더 맛있긴 하지만 물에 먹어도 괜찮아요
    풀림은 걍 soso...잘 흔들면 먹는데 지장은 없어요"
